variable,kind,source_name,sheet,unit,definition
l_SOL6,local,wwp_max,SOIL,v%,Available water capacity (volumetric fraction) [maximum]
l_SOL7,local,wwp_mean,SOIL,v%,Available water capacity (volumetric fraction) [mean]
u_SOL7,upstream,wwp_mean,SOIL,v%,Available water capacity (volumetric fraction) [mean]
l_SOL8,local,wwp_sd,SOIL,v%,Available water capacity (volumetric fraction) [sd]
l_SOL9,local,clyppt_min,SOIL,w%,Clay fraction by weight (<0.0002 mm) [minimum]
l_SOL10,local,clyppt_max,SOIL,w%,Clay fraction by weight (<0.0002 mm) [maximum]
l_SOL11,local,clyppt_mean,SOIL,w%,Clay fraction by weight (<0.0002 mm) [mean]
u_SOL11,upstream,clyppt_mean,SOIL,w%,Clay fraction by weight (<0.0002 mm) [mean]
l_SOL12,local,clyppt_sd,SOIL,w%,Clay fraction by weight (<0.0002 mm) [sd]
l_SOL13,local,sndppt_min,SOIL,w%,Sand fraction by weight (0.05–2 mm) [minimum]
l_SOL14,local,sndppt_max,SOIL,w%,Sand fraction by weight (0.05–2 mm) [maximum]
l_SOL15,local,sndppt_mean,SOIL,w%,Sand fraction by weight (0.05–2 mm) [mean]
u_SOL15,upstream,sndppt_mean,SOIL,w%,Sand fraction by weight (0.05–2 mm) [mean]
l_SOL16,local,sndppt_sd,SOIL,w%,Sand fraction by weight (0.05–2 mm) [sd]
l_SOL17,local,sltppt_min,SOIL,w%,Silt fraction by weight (0.0002–0.05 mm) [minimum]
l_SOL18,local,sltppt_max,SOIL,w%,Silt fraction by weight (0.0002–0.05 mm) [maximum]
l_SOL19,local,sltppt_mean,SOIL,w%,Silt fraction by weight (0.0002–0.05 mm) [mean]
u_SOL19,upstream,sltppt_mean,SOIL,w%,Silt fraction by weight (0.0002–0.05 mm) [mean]
l_SOL20,local,sltppt_sd,SOIL,w%,Silt fraction by weight (0.0002–0.05 mm) [sd]
l_SOL21,local,crfvol_min,SOIL,v%,Coarse fragments by volume (>2 mm) [minimum]
l_SOL22,local,crfvol_max,SOIL,v%,Coarse fragments by volume (>2 mm) [maximum]
l_SOL23,local,crfvol_mean,SOIL,v%,Coarse fragments by volume (>2 mm) [mean]
u_SOL23,upstream,crfvol_mean,SOIL,v%,Coarse fragments by volume (>2 mm) [mean]
l_SOL24,local,crfvol_sd,SOIL,v%,Coarse fragments by volume (>2 mm) [sd]
l_SOL25,local,bldfie_min,SOIL,kg/m³,Bulk density of the fine earth fraction (< 2 mm) [minimum]
l_SOL26,local,bldfie_max,SOIL,kg/m³,Bulk density of the fine earth fraction (< 2 mm) [maximum]
l_SOL27,local,bldfie_mean,SOIL,kg/m³,Bulk density of the fine earth fraction (< 2 mm) [mean]
u_SOL27,upstream,bldfie_mean,SOIL,kg/m³,Bulk density of the fine earth fraction (< 2 mm) [mean]
l_SOL28,local,bldfie_sd,SOIL,kg/m³,Bulk density of the fine earth fraction (< 2 mm) [sd]
l_SOL29,local,cecsol_min,SOIL,cmolc/kg,Cation exchange capacity of the fine earth fraction  (< 2 mm) [minimum]
l_SOL30,local,cecsol_max,SOIL,cmolc/kg,Cation exchange capacity of the fine earth fraction  (< 2 mm) [maximum]
l_SOL31,local,cecsol_mean,SOIL,cmolc/kg,Cation exchange capacity of the fine earth fraction  (< 2 mm) [mean]
u_SOL31,upstream,cecsol_mean,SOIL,cmolc/kg,Cation exchange capacity of the fine earth fraction  (< 2 mm) [mean]
l_SOL32,local,cecsol_sd,SOIL,cmolc/kg,Cation exchange capacity of the fine earth fraction  (< 2 mm) [sd]
l_SOL33,local,histpr_min,SOIL,%,"Cumulative probability of Histosols (soils with high organic matter) occurrence (WRB, USDA) [minimum]"
l_SOL34,local,histpr_max,SOIL,%,"Cumulative probability of Histosols (soils with high organic matter) occurrence (WRB, USDA) [maximum]"
l_SOL35,local,histpr_mean,SOIL,%,"Cumulative probability of Histosols (soils with high organic matter) occurrence (WRB, USDA) [mean]"
u_SOL35,upstream,histpr_mean,SOIL,%,"Cumulative probability of Histosols (soils with high organic matter) occurrence (WRB, USDA) [mean]"
l_SOL36,local,histpr_sd,SOIL,%,"Cumulative probability of Histosols (soils with high organic matter) occurrence (WRB, USDA)"
l_SOL37,local,orcdrc_min,SOIL,g/kg,Soil organic carbon content in ‰ [minimum]
l_SOL38,local,orcdrc_max,SOIL,g/kg,Soil organic carbon content in ‰ [maximum]
l_SOL39,local,orcdrc_mean,SOIL,g/kg,Soil organic carbon content in ‰ [mean]
u_SOL39,upstream,orcdrc_mean,SOIL,g/kg,Soil organic carbon content in ‰ [mean]
l_SOL40,local,orcdrc_sd,SOIL,g/kg,Soil organic carbon content in ‰ [sd]
l_SOL41,local,phihox_min,SOIL,pH,"Soil pH in H2O and KCl solution, multiplied by 10 (pH in H2O x 10) [minimum]"
l_SOL42,local,phihox_max,SOIL,pH,"Soil pH in H2O and KCl solution, multiplied by 10 (pH in H2O x 10) [maximum]"
l_SOL43,local,phihox_mean,SOIL,pH,"Soil pH in H2O and KCl solution, multiplied by 10 (pH in H2O x 10) [mean]"
u_SOL43,upstream,phihox_mean,SOIL,pH,"Soil pH in H2O and KCl solution, multiplied by 10 (pH in H2O x 10) [mean]"
l_SOL44,local,phihox_sd,SOIL,pH,"Soil pH in H2O and KCl solution, multiplied by 10 (pH in H2O x 10) [sd]"
l_SOL45,local,acdwrb_min,SOIL,pH,Soil acidity (WRB class-based) [minimum]
l_SOL46,local,acdwrb_max,SOIL,pH,Soil acidity (WRB class-based) [maximum]
l_SOL47,local,acdwrb_mean,SOIL,pH,Soil acidity (WRB class-based) [mean]
u_SOL47,upstream,acdwrb_mean,SOIL,pH,Soil acidity (WRB class-based) [mean]
l_SOL48,local,acdwrb_sd,SOIL,pH,Soil acidity (WRB class-based) [sd]
l_SOL49,local,slgwrb_min,SOIL,pH,Soil sodicity (WRB class-based) [minimum]
l_SOL50,local,slgwrb_max,SOIL,pH,Soil sodicity (WRB class-based) [maximum]
l_SOL51,local,slgwrb_mean,SOIL,pH,Soil sodicity (WRB class-based) [mean]
u_SOL51,upstream,slgwrb_mean,SOIL,pH,Soil sodicity (WRB class-based) [mean]
l_SOL52,local,slgwrb_sd,SOIL,pH,Soil sodicity (WRB class-based) [sd]
l_SOL53,local,bdricm_min,SOIL,cm,Depth to R horizon [minimum]
l_SOL54,local,bdricm_max,SOIL,cm,Depth to R horizon [maximum]
l_SOL55,local,bdricm_mean,SOIL,cm,Depth to R horizon [mean]
u_SOL55,upstream,bdricm_mean,SOIL,cm,Depth to R horizon [mean]
l_SOL56,local,bdricm_sd,SOIL,cm,Depth to R horizon [sd]
l_SOL57,local,bdrlog_min,SOIL,%,Probability of occurrence of R horizon [minimum]
l_SOL58,local,bdrlog_max,SOIL,%,Probability of occurrence of R horizon [maximum]
l_SOL59,local,bdrlog_mean,SOIL,%,Probability of occurrence of R horizon [mean]
u_SOL59,upstream,bdrlog_mean,SOIL,%,Probability of occurrence of R horizon [mean]
l_SOL60,local,bdrlog_sd,SOIL,%,Probability of occurrence of R horizon [sd]
l_LAC1,local,c10,LAND COVER,%,"Cropland, rainfed (codes 10, 11, 12)"
u_LAC1,upstream,c10,LAND COVER,%,"Cropland, rainfed (codes 10, 11, 12)"
l_LAC2,local,c20,LAND COVER,%,"Cropland, irrigated / post-flooding (20)"
u_LAC2,upstream,c20,LAND COVER,%,"Cropland, irrigated / post-flooding (20)"
l_LAC3,local,c30,LAND COVER,%,Mosaic cropland (>50%) / natural vegetation (<50%) (30)
u_LAC3,upstream,c30,LAND COVER,%,Mosaic cropland (>50%) / natural vegetation (<50%) (30)
l_LAC4,local,c40,LAND COVER,%,Mosaic natural vegetation (>50%) / cropland (<50%) (40)
u_LAC4,upstream,c40,LAND COVER,%,Mosaic natural vegetation (>50%) / cropland (<50%) (40)
l_LAC5,local,c50,LAND COVER,%,"Tree cover, broadleaved, evergreen (closed to open >15%) (50)"
u_LAC5,upstream,c50,LAND COVER,%,"Tree cover, broadleaved, evergreen (closed to open >15%) (50)"
l_LAC6,local,c60,LAND COVER,%,"Tree cover, broadleaved, deciduous (closed to open >15%) (60, 61, 62)"
u_LAC6,upstream,c60,LAND COVER,%,"Tree cover, broadleaved, deciduous (closed to open >15%) (60, 61, 62)"
l_LAC7,local,c70,LAND COVER,%,"Tree cover, needleleaved, evergreen (closed to open >15%) (70, 71, 72)"
u_LAC7,upstream,c70,LAND COVER,%,"Tree cover, needleleaved, evergreen (closed to open >15%) (70, 71, 72)"
l_LAC8,local,c80,LAND COVER,%,"Tree cover, needleleaved, deciduous (>15%) (80, 81, 82)"
u_LAC8,upstream,c80,LAND COVER,%,"Tree cover, needleleaved, deciduous (>15%) (80, 81, 82)"
l_LAC9,local,c90,LAND COVER,%,"Tree cover, mixed leaf type (broad + needle) (90)"
u_LAC9,upstream,c90,LAND COVER,%,"Tree cover, mixed leaf type (broad + needle) (90)"
l_LAC10,local,c100,LAND COVER,%,Mosaic tree & shrub (>50%) / herbaceous (<50%) (100)
u_LAC10,upstream,c100,LAND COVER,%,Mosaic tree & shrub (>50%) / herbaceous (<50%) (100)
l_LAC11,local,c110,LAND COVER,%,Mosaic herbaceous (>50%) / tree & shrub (<50%) (110)
u_LAC11,upstream,c110,LAND COVER,%,Mosaic herbaceous (>50%) / tree & shrub (<50%) (110)
l_LAC12,local,c120,LAND COVER,%,"Shrubland (120, 121, 122) "
u_LAC12,upstream,c120,LAND COVER,%,"Shrubland (120, 121, 122) "
l_LAC13,local,c130,LAND COVER,%,Grassland (130)
u_LAC13,upstream,c130,LAND COVER,%,Grassland (130)
l_LAC14,local,c140,LAND COVER,%,"Lichens, mosses (140)"
u_LAC14,upstream,c140,LAND COVER,%,"Lichens, mosses (140)"
l_LAC15,local,c150,LAND COVER,%,"Sparse vegetation (tree, shrub, herbaceous <15%) (150, 151, 152, 153)"
u_LAC15,upstream,c150,LAND COVER,%,"Sparse vegetation (tree, shrub, herbaceous <15%) (150, 151, 152, 153)"
l_LAC16,local,c160,LAND COVER,%,"Tree cover flooded, fresh/brackish water (160)"
u_LAC16,upstream,c160,LAND COVER,%,"Tree cover flooded, fresh/brackish water (160)"
l_LAC17,local,c170,LAND COVER,%,"Tree cover flooded, saline water (170)"
u_LAC17,upstream,c170,LAND COVER,%,"Tree cover flooded, saline water (170)"
l_LAC18,local,c180,LAND COVER,%,Shrub or herbaceous flooded (fresh/saline/brackish water) (180)
u_LAC18,upstream,c180,LAND COVER,%,Shrub or herbaceous flooded (fresh/saline/brackish water) (180)
l_LAC19,local,c190,LAND COVER,%,Urban areas (190)
u_LAC19,upstream,c190,LAND COVER,%,Urban areas (190)
l_LAC20,local,c200,LAND COVER,%,"Bare areas (200, 201, 202)"
u_LAC20,upstream,c200,LAND COVER,%,"Bare areas (200, 201, 202)"
l_LAC21,local,c210,LAND COVER,%,Water bodies (210)
u_LAC21,upstream,c210,LAND COVER,%,Water bodies (210)
l_LAC22,local,c220,LAND COVER,%,Snow and ice (permanent) (220)
u_LAC22,upstream,c220,LAND COVER,%,Snow and ice (permanent) (220)
l_TOP1,local,slope_curv_max_dw_cel_min,TOPOGRAPHY,m⁻¹,"Cell maximum curvature (between highest upstream cell, focal cell, and downstream cell) [minimum]"
l_TOP2,local,slope_curv_max_dw_cel_max,TOPOGRAPHY,m⁻¹,"Cell maximum curvature (between highest upstream cell, focal cell, and downstream cell) [maximum]"
l_TOP3,local,slope_curv_max_dw_cel_mean,TOPOGRAPHY,m⁻¹,"Cell maximum curvature (between highest upstream cell, focal cell, and downstream cell) [mean]"
u_TOP3,upstream,slope_curv_max_dw_cel_mean,TOPOGRAPHY,m⁻¹,"Cell maximum curvature (between highest upstream cell, focal cell, and downstream cell) [mean]"
l_TOP4,local,slope_curv_max_dw_cel_sd,TOPOGRAPHY,m⁻¹,"Cell maximum curvature (between highest upstream cell, focal cell, and downstream cell) [sd]"
l_TOP5,local,slope_curv_min_dw_cel_min,TOPOGRAPHY,m⁻¹,"Cell minimum curvature (between lowest upstream cell, focal cell, and downstream cell) [minimum]"
l_TOP6,local,slope_curv_min_dw_cel_max,TOPOGRAPHY,m⁻¹,"Cell minimum curvature (between lowest upstream cell, focal cell, and downstream cell) [maximum]"
l_TOP7,local,slope_curv_min_dw_cel_mean,TOPOGRAPHY,m⁻¹,"Cell minimum curvature (between lowest upstream cell, focal cell, and downstream cell) [mean]"
u_TOP7,upstream,slope_curv_min_dw_cel_mean,TOPOGRAPHY,m⁻¹,"Cell minimum curvature (between lowest upstream cell, focal cell, and downstream cell) [mean]"
l_TOP8,local,slope_curv_min_dw_cel_sd,TOPOGRAPHY,m⁻¹,"Cell minimum curvature (between lowest upstream cell, focal cell, and downstream cell) [sd]"
l_TOP9,local,slope_elv_dw_cel_min,TOPOGRAPHY,m,Cell elevation difference (between focal cell and downstream cell) [minimum]
l_TOP10,local,slope_elv_dw_cel_max,TOPOGRAPHY,m,Cell elevation difference (between focal cell and downstream cell) [maximum]
l_TOP11,local,slope_elv_dw_cel_mean,TOPOGRAPHY,m,Cell elevation difference (between focal cell and downstream cell) [mean]
u_TOP11,upstream,slope_elv_dw_cel_mean,TOPOGRAPHY,m,Cell elevation difference (between focal cell and downstream cell) [mean]
l_TOP12,local,slope_elv_dw_cel_sd,TOPOGRAPHY,m,Cell elevation difference (between focal cell and downstream cell) [sd]
l_TOP13,local,slope_grad_dw_cel_min,TOPOGRAPHY,–,Cell gradient [minimum]
l_TOP14,local,slope_grad_dw_cel_max,TOPOGRAPHY,–,Cell gradient [maximum]
l_TOP15,local,slope_grad_dw_cel_mean,TOPOGRAPHY,–,Cell gradient [mean]
u_TOP15,upstream,slope_grad_dw_cel_mean,TOPOGRAPHY,–,Cell gradient [mean]
l_TOP16,local,slope_grad_dw_cel_sd,TOPOGRAPHY,–,Cell gradient [sd]
l_TOP17,local,stream_dist_up_near_min,TOPOGRAPHY,m,Shortest upstream distance (between focal grid cell and the nearest sub-catchment drainage divide) [minimum]
l_TOP18,local,stream_dist_up_near_max,TOPOGRAPHY,m,Shortest upstream distance (between focal grid cell and the nearest sub-catchment drainage divide) [maximum]
l_TOP19,local,stream_dist_up_near_mean,TOPOGRAPHY,m,Shortest upstream distance (between focal grid cell and the nearest sub-catchment drainage divide) [mean]
u_TOP19,upstream,stream_dist_up_near_mean,TOPOGRAPHY,m,Shortest upstream distance (between focal grid cell and the nearest sub-catchment drainage divide) [mean]
l_TOP20,local,stream_dist_up_near_sd,TOPOGRAPHY,m,Shortest upstream distance (between focal grid cell and the nearest sub-catchment drainage divide) [sd]
l_TOP21,local,stream_dist_up_farth_min,TOPOGRAPHY,m,Longest upstream distance (between focal grid cell and the furthest sub-catchment drainage divide) [minimum]
l_TOP22,local,stream_dist_up_farth_max,TOPOGRAPHY,m,Longest upstream distance (between focal grid cell and the furthest sub-catchment drainage divide) [maximum]
l_TOP23,local,stream_dist_up_farth_mean,TOPOGRAPHY,m,Longest upstream distance (between focal grid cell and the furthest sub-catchment drainage divide) [mean]
u_TOP23,upstream,stream_dist_up_farth_mean,TOPOGRAPHY,m,Longest upstream distance (between focal grid cell and the furthest sub-catchment drainage divide) [mean]
l_TOP24,local,stream_dist_up_farth_sd,TOPOGRAPHY,m,Longest upstream distance (between focal grid cell and the furthest sub-catchment drainage divide) [sd]
l_TOP25,local,stream_dist_dw_near_min,TOPOGRAPHY,m,Distance between focal grid cell and its nearest downstream stream grid cell [minimum]
l_TOP26,local,stream_dist_dw_near_max,TOPOGRAPHY,m,Distance between focal grid cell and its nearest downstream stream grid cell [maximum]
l_TOP27,local,stream_dist_dw_near_mean,TOPOGRAPHY,m,Distance between focal grid cell and its nearest downstream stream grid cell [mean]
u_TOP27,upstream,stream_dist_dw_near_mean,TOPOGRAPHY,m,Distance between focal grid cell and its nearest downstream stream grid cell [mean]
l_TOP28,local,stream_dist_dw_near_sd,TOPOGRAPHY,m,Distance between focal grid cell and its nearest downstream stream grid cell [sd]
l_TOP29,local,outlet_dist_dw_basin_min,TOPOGRAPHY,m,Distance between focal grid cell and the outlet grid cell in the network [minimum]
l_TOP30,local,outlet_dist_dw_basin_max,TOPOGRAPHY,m,Distance between focal grid cell and the outlet grid cell in the network [maximum]
l_TOP31,local,outlet_dist_dw_basin_mean ,TOPOGRAPHY,m,Distance between focal grid cell and the outlet grid cell in the network [mean]
u_TOP31,upstream,outlet_dist_dw_basin_mean ,TOPOGRAPHY,m,Distance between focal grid cell and the outlet grid cell in the network [mean]
l_TOP32,local,outlet_dist_dw_basin_sd,TOPOGRAPHY,m,Distance between focal grid cell and the outlet grid cell in the network [sd]
l_TOP33,local,outlet_dist_dw_scatch_min,TOPOGRAPHY,m,Distance between focal grid cell and the downstream stream node grid cell [minimum]
l_TOP34,local,outlet_dist_dw_scatch_max,TOPOGRAPHY,m,Distance between focal grid cell and the downstream stream node grid cell [maximum]
l_TOP35,local,outlet_dist_dw_scatch_mean ,TOPOGRAPHY,m,Distance between focal grid cell and the downstream stream node grid cell [mean]
u_TOP35,upstream,outlet_dist_dw_scatch_mean ,TOPOGRAPHY,m,Distance between focal grid cell and the downstream stream node grid cell [mean]
l_TOP36,local,outlet_dist_dw_scatch_sd,TOPOGRAPHY,m,Distance between focal grid cell and the downstream stream node grid cell [sd]
l_TOP37,local,stream_dist_proximity_min,TOPOGRAPHY,m,Euclidean distance between focal grid cell and the stream network [minimum]
l_TOP38,local,stream_dist_proximity_max,TOPOGRAPHY,m,Euclidean distance between focal grid cell and the stream network [maximum]
l_TOP39,local,stream_dist_proximity_mean,TOPOGRAPHY,m,Euclidean distance between focal grid cell and the stream network [mean]
u_TOP39,upstream,stream_dist_proximity_mean,TOPOGRAPHY,m,Euclidean distance between focal grid cell and the stream network [mean]
l_TOP40,local,stream_dist_proximity_sd,TOPOGRAPHY,m,Euclidean distance between focal grid cell and the stream network [sd]
l_TOP41,local,stream_diff_up_near_min,TOPOGRAPHY,m,Elevation difference of the shortest path from focal grid cell to the sub-catchment drainage divide [minimum]
l_TOP42,local,stream_diff_up_near_max,TOPOGRAPHY,m,Elevation difference of the shortest path from focal grid cell to the sub-catchment drainage divide [maximum]
l_TOP43,local,stream_diff_up_near_mean,TOPOGRAPHY,m,Elevation difference of the shortest path from focal grid cell to the sub-catchment drainage divide [mean]
u_TOP43,upstream,stream_diff_up_near_mean,TOPOGRAPHY,m,Elevation difference of the shortest path from focal grid cell to the sub-catchment drainage divide [mean]
