species,petko_category_verbatim,petko_category,median_st_range,gate1_category,manual_correction,correction_rationale
Cambarus lenati,regional,regional,1.9973895555291183,regional,,
Cambarus longirostris,widespread/cosmopolitan,widespread,3.1366170660561976,widespread,,
Cambarus longulus,regional,regional,2.8769868782003174,regional,,
Cambarus maculatus,regional,regional,1.8675184844408603,regional,,
Cambarus manningi,endemic/narrow-range,endemic,1.089695816182625,endemic,,
Cambarus monongalensis,regional,regional,1.8106717129198044,regional,,
Cambarus nodosus,endemic/narrow-range,endemic,1.7333756234319513,endemic,,
Cambarus obstipus,regional,regional,2.235667670821983,regional,,
Cambarus ortmanni,regional,regional,2.4693967935280052,regional,,
Cambarus parrishi,endemic/narrow-range,endemic,1.4489047984317736,endemic,,
Cambarus parvoculus,regional,regional,2.2130455920309204,regional,,
Cambarus pristinus,endemic/narrow-range,endemic,1.704185103244838,endemic,,
Cambarus reburrus,regional,regional,2.153251829464337,regional,,
Cambarus reduncus,widespread/cosmopolitan,widespread,3.3841182036158455,widespread,,
Cambarus reflexus,regional,regional,2.3926079251311796,regional,,
Cambarus robustus,widespread/cosmopolitan,widespread,5.700237260694744,widespread,,
Cambarus rusticiformis,regional,regional,2.816837240013206,regional,,
Cambarus sciotensis,widespread/cosmopolitan,widespread,4.020020251949568,widespread,,
Cambarus scotti,regional,regional,2.042569047696648,regional,,
Cambarus smilax,endemic/narrow-range,endemic,1.6216309191617464,endemic,,
Cambarus speciosus,endemic/narrow-range,endemic,1.4542260205221385,endemic,,
Cambarus sphenoides,regional,regional,2.632257286566482,regional,,
Cambarus spicatus,regional,regional,1.8258382415438337,regional,,
Cambarus stockeri,endemic/narrow-range,endemic,1.331141895642721,endemic,,
Cambarus striatus,widespread/cosmopolitan,widespread,5.8012072032888184,regional,yes,restricted to southeastern United States
Cambarus strigosus,regional,regional,2.016568060362218,regional,,
Cambarus taylori,endemic/narrow-range,endemic,1.2725597492926992,endemic,,
Cambarus tenebrosus,widespread/cosmopolitan,widespread,3.1776536243980704,widespread,,
Cambarus theepiensis,regional,regional,2.4495876133348164,regional,,
Cambarus tuckasegee,endemic/narrow-range,endemic,1.69629901711773,endemic,,
Cambarus unestami,regional,regional,2.026851274081695,regional,,
Cherax quadricarinatus,widespread/cosmopolitan,widespread,7.783888320810919,regional,yes,native range confined to tropical NE Australia and New Guinea; widespread only as invasive
Creaserinus burrisi,endemic/narrow-range,endemic,1.4222222222222225,endemic,,
Creaserinus byersi,regional,regional,2.278525835158179,regional,,
Creaserinus caesius,endemic/narrow-range,endemic,1.2123077359668537,endemic,,
Creaserinus danielae,regional,regional,2.6367190380091694,regional,,
Creaserinus fodiens,widespread/cosmopolitan,widespread,4.700119823984332,regional,yes,restricted to northeastern/central United States
Distocambarus (Distocambarus) crockeri,endemic/narrow-range,endemic,1.4985808695845555,endemic,,
Distocambarus (Fitzcambarus) carlsoni,endemic/narrow-range,endemic,1.6159899988992137,endemic,,
Euastacus armatus,widespread/cosmopolitan,widespread,3.3555915233184024,widespread,,
Euastacus bispinosus,regional,regional,2.0257511721206676,regional,,
Fallicambarus harpi,endemic/narrow-range,endemic,1.3209251360657728,endemic,,
Fallicambarus jeanae,endemic/narrow-range,endemic,1.336372273465025,endemic,,
Fallicambarus strawni,regional,regional,2.177301654884532,regional,,
Fallicambarus tenuis,regional,regional,2.0978070604607675,regional,,
Faxonella clypeata,widespread/cosmopolitan,widespread,3.3333333333333335,widespread,,
Faxonius acares,regional,regional,1.8932063447099372,regional,,
Faxonius alabamensis,regional,regional,2.318478878042308,regional,,
Faxonius barrenensis,endemic/narrow-range,endemic,1.374619059592658,endemic,,
Faxonius carolinensis,widespread/cosmopolitan,widespread,3.1795464227456156,widespread,,
Faxonius causeyi,regional,regional,1.98460993337103,regional,,
Faxonius chickasawae,regional,regional,2.154985927432101,regional,,
Faxonius compressus,regional,regional,2.8700672060408907,regional,,
Faxonius cristavarius,widespread/cosmopolitan,widespread,3.163301354885187,widespread,,
Faxonius deanae,regional,regional,2.180651367470622,regional,,
Faxonius difficilis,endemic/narrow-range,endemic,1.4759455632515304,endemic,,
Faxonius durelli,regional,regional,2.2099123302926857,regional,,
Faxonius erichsonianus,widespread/cosmopolitan,widespread,3.1820928426108557,widespread,,
Faxonius etnieri,regional,regional,2.592070759267289,regional,,
Faxonius eupunctus,endemic/narrow-range,endemic,1.585419704607772,endemic,,
Faxonius forceps,widespread/cosmopolitan,widespread,3.170652013409113,widespread,,
Faxonius harrisonii,endemic/narrow-range,endemic,1.6837395290387065,endemic,,
Faxonius holti,regional,regional,1.8832235655635623,regional,,
Faxonius hylas,regional,regional,2.426533994777986,regional,,
Faxonius illinoiensis,regional,regional,2.1533076786810357,regional,,
Faxonius immunis,widespread/cosmopolitan,widespread,10.20256866078594,widespread,,
Faxonius indianensis,regional,regional,2.289947800396785,regional,,
Faxonius jeffersoni,endemic/narrow-range,endemic,1.6718063525605589,endemic,,
Faxonius jonesi,endemic/narrow-range,endemic,1.762668234818488,endemic,,
Faxonius juvenilis,regional,regional,3.029913328626567,regional,,
Faxonius kentuckiensis,endemic/narrow-range,endemic,1.776962565548395,endemic,,
Faxonius lancifer,widespread/cosmopolitan,widespread,4.7044566296350805,widespread,,
Faxonius leptogonopodus,regional,regional,2.0244654759215504,regional,,
Faxonius limosus,widespread/cosmopolitan,widespread,11.273920202532157,widespread,,
Faxonius longidigitus,regional,regional,2.298777254400684,regional,,
Faxonius luteus,widespread/cosmopolitan,widespread,3.860377860860656,widespread,,
Faxonius macrus,regional,regional,1.8884967148034848,regional,,
Faxonius marchandi,endemic/narrow-range,endemic,1.044943820224719,endemic,,
Faxonius medius,regional,regional,1.863517718670462,regional,,
Faxonius meeki,regional,regional,2.39010989010989,regional,,
Faxonius meeki meeki,regional,regional,2.058088057452136,regional,,
Faxonius menae,regional,regional,1.9782343054171003,regional,,
Faxonius mirus,regional,regional,2.4612594939897923,regional,,
Faxonius mississippiensis,endemic/narrow-range,endemic,1.5857312833158752,endemic,,
Faxonius nais,widespread/cosmopolitan,widespread,3.65370709981661,widespread,,
Faxonius nana,regional,regional,1.9420747576155903,regional,,
Faxonius neglectus,widespread/cosmopolitan,widespread,5.0900844147662845,widespread,,
Faxonius neglectus neglectus,widespread/cosmopolitan,widespread,3.338739058959435,widespread,,
Faxonius obscurus,widespread/cosmopolitan,widespread,4.326594827858346,widespread,,
Faxonius ozarkae,widespread/cosmopolitan,widespread,3.6206451735327647,widespread,,
Faxonius pagei,endemic/narrow-range,endemic,1.4539438245479028,endemic,,
Faxonius palmeri,widespread/cosmopolitan,widespread,3.953623990590375,widespread,,
Faxonius palmeri longimanus,widespread/cosmopolitan,widespread,3.1798617552401365,widespread,,
Faxonius palmeri palmeri,regional,regional,2.768521834912452,regional,,
Faxonius perfectus,regional,regional,2.8882294097189587,regional,,
Faxonius peruncus,regional,regional,1.8058464542894324,regional,,
Faxonius placidus,widespread/cosmopolitan,widespread,3.6497744109637207,widespread,,
Faxonius propinquus,widespread/cosmopolitan,widespread,9.23810777258439,widespread,,
Faxonius punctimanus,regional,regional,2.4982609988589584,regional,,
Faxonius putnami,regional,regional,2.486278471162036,regional,,
Faxonius quadruncus,endemic/narrow-range,endemic,1.7667423382519862,endemic,,
Faxonius rafinesquei,endemic/narrow-range,endemic,1.032558131524751,endemic,,
Faxonius raymondi,regional,regional,2.4951817836582904,regional,,
Faxonius rhoadesi,regional,regional,1.8609283089379025,regional,,
Faxonius roberti,regional,regional,1.822881694742438,regional,,
Faxonius ronaldi,endemic/narrow-range,endemic,1.254649818645232,endemic,,
Faxonius rusticus,widespread/cosmopolitan,widespread,9.660080943712387,widespread,,
Faxonius sanbornii,widespread/cosmopolitan,widespread,4.249768319734126,widespread,,
Faxonius sanbornii sanbornii,regional,regional,2.01121249964063,regional,,
Faxonius sloanii,regional,regional,2.2639924996812564,regional,,
Faxonius spinosus,regional,regional,2.8387581030365063,regional,,
Faxonius stannardi,endemic/narrow-range,endemic,1.6917534201089588,endemic,,
Faxonius texanus,endemic/narrow-range,endemic,1.5649121702955775,endemic,,
Faxonius tricuspis,endemic/narrow-range,endemic,1.6182141790314457,endemic,,
Faxonius validus,widespread/cosmopolitan,widespread,3.2234432234432235,widespread,,
Faxonius virginiensis,widespread/cosmopolitan,widespread,3.2425103635471886,widespread,,
Faxonius virilis,widespread/cosmopolitan,widespread,10.421592447564672,widespread,,
Faxonius wagneri,endemic/narrow-range,endemic,1.537394591807927,endemic,,
Faxonius williamsi,regional,regional,1.9647492658507095,regional,,
Faxonius wrighti,endemic/narrow-range,endemic,1.4121290322580646,endemic,,
Faxonius yanahlindus,regional,regional,2.144299439503952,regional,,
Hobbseus prominens,endemic/narrow-range,endemic,1.5714261558418428,endemic,,
Lacunicambarus acanthura,regional,regional,2.8156419387905025,regional,,
Lacunicambarus chimera,regional,regional,3.008897236848553,regional,,
Lacunicambarus diogenes,widespread/cosmopolitan,widespread,6.24419015581944,widespread,,
Lacunicambarus erythrodactylus,regional,regional,2.0083670837703487,regional,,
Lacunicambarus ludovicianus,widespread/cosmopolitan,widespread,4.556512156484606,widespread,,
Lacunicambarus miltus,regional,regional,2.25,regional,,
Lacunicambarus nebrascensis,regional,regional,2.2553158493539036,regional,,
Lacunicambarus polychromatus,widespread/cosmopolitan,widespread,4.061324041811846,widespread,,
Lacunicambarus thomai,widespread/cosmopolitan,widespread,4.342471624293199,widespread,,
Orconectes australis,regional,regional,1.9948489773963072,regional,,
Orconectes pellucidus,endemic/narrow-range,endemic,1.4822690195722057,endemic,,
Pacifastacus leniusculus,widespread/cosmopolitan,widespread,7.293125643662392,widespread,,
Parastacus brasiliensis,regional,regional,2.038123777086912,regional,,
Parastacus nicoleti,regional,regional,2.310689677767459,regional,,
Parastacus pilimanus,endemic/narrow-range,endemic,1.5238523648290292,endemic,,
Parastacus pugnax,regional,regional,2.655948428935382,regional,,
Pontastacus leptodactylus,widespread/cosmopolitan,widespread,9.961970038987596,widespread,,
Procambarus ablusus,endemic/narrow-range,endemic,1.457960675140138,endemic,,
Procambarus acutissimus,widespread/cosmopolitan,widespread,3.5227338486339033,widespread,,
Procambarus acutus,widespread/cosmopolitan,widespread,7.924855547178843,widespread,,
Procambarus advena,regional,regional,2.1509819564695194,regional,,
Procambarus alleni,regional,regional,3.1339246243983836,regional,,
Procambarus ancylus,widespread/cosmopolitan,widespread,3.270728970871505,widespread,,
Procambarus barbatus,regional,regional,2.556237976888995,regional,,
Procambarus bivittatus,regional,regional,2.140885219803299,regional,,
Procambarus blandingii,widespread/cosmopolitan,widespread,4.863140523281482,widespread,,
Procambarus caritus,endemic/narrow-range,endemic,1.7366792439024796,endemic,,
Procambarus chacei,widespread/cosmopolitan,widespread,3.275519336756324,widespread,,
Procambarus clarkii,widespread/cosmopolitan,widespread,19.50740190781605,widespread,,
Procambarus clemmeri,regional,regional,2.256665504662555,regional,,
Procambarus curdi,endemic/narrow-range,endemic,1.7025716529961263,endemic,,
Procambarus dupratzi,regional,regional,1.85353968649844,regional,,
Procambarus echinatus,regional,regional,1.8796349357325983,regional,,
Procambarus elegans,endemic/narrow-range,endemic,1.6827586206896552,endemic,,
Procambarus enoplosternum,regional,regional,2.986877287159942,regional,,
Procambarus epicyrtus,endemic/narrow-range,endemic,1.6266695623846237,endemic,,
Procambarus evermanni,regional,regional,2.564766839378238,regional,,
Procambarus fallax,widespread/cosmopolitan,widespread,3.279688551897629,widespread,,
Procambarus geminus,endemic/narrow-range,endemic,0.9875125315613014,endemic,,
Procambarus gracilis,widespread/cosmopolitan,widespread,3.735481981257999,widespread,,
Procambarus hayi,widespread/cosmopolitan,widespread,4.897549720362149,widespread,,
Procambarus hinei,regional,regional,2.4552182163187855,regional,,
Procambarus hirsutus,regional,regional,2.4472246908432185,regional,,
Procambarus howellae,endemic/narrow-range,endemic,1.7256637168141595,endemic,,
Procambarus hubbelli,regional,regional,1.9668554782007224,regional,,
Procambarus hybus,regional,regional,2.052723428952197,regional,,
Procambarus incilis,regional,regional,2.1567988731835483,regional,,
Procambarus kensleyi,endemic/narrow-range,endemic,1.7916666666666667,endemic,,
Procambarus kilbyi,regional,regional,2.0494940066810767,regional,,
Procambarus lagniappe,endemic/narrow-range,endemic,1.6707016972306552,endemic,,
Procambarus lecontei,regional,regional,2.57443018644617,regional,,
Procambarus leonensis,regional,regional,1.9525863583652527,regional,,
Procambarus lepidodactylus,regional,regional,2.1648979591836732,regional,,
Procambarus lewisi,regional,regional,2.0795356845852178,regional,,
Procambarus liberorum,regional,regional,2.5589141665911357,regional,,
Procambarus litosternum,regional,regional,1.8111027380055265,regional,,
Procambarus lophotus,regional,regional,2.972660234384501,regional,,
Procambarus lunzi,regional,regional,2.28021382414986,regional,,
Procambarus marthae,regional,regional,2.055280149938545,regional,,
Procambarus medialis,regional,regional,2.097727856400337,regional,,
Procambarus natchitochae,regional,regional,2.011065778838382,regional,,
Procambarus nechesae,endemic/narrow-range,endemic,1.139509721768591,endemic,,
Procambarus nigrocinctus,endemic/narrow-range,endemic,1.4873810684835007,endemic,,
Procambarus okaloosae,endemic/narrow-range,endemic,1.7945681364304598,endemic,,
Procambarus ouachitae,regional,regional,2.7640317258691853,regional,,
Procambarus paeninsulanus,widespread/cosmopolitan,widespread,4.793439606031187,widespread,,
Procambarus parasimulans,regional,regional,1.838822704975473,regional,,
Procambarus pearsei,regional,regional,2.645279737172674,regional,,
Procambarus plumimanus,regional,regional,2.6945072179023466,regional,,
Procambarus pubescens,regional,regional,2.205612454574199,regional,,
Procambarus pubischelae deficiens,regional,regional,1.9204852305566011,regional,,
Procambarus pubischelae,endemic/narrow-range,endemic,1.7142857142857142,endemic,,
Procambarus pygmaeus,regional,regional,2.4093268559900385,regional,,
Procambarus raneyi,regional,regional,2.7865388367558728,regional,,
Procambarus reimeri,endemic/narrow-range,endemic,1.429966397656452,endemic,,
Procambarus seminolae,regional,regional,2.645176719546044,regional,,
Procambarus shermani,endemic/narrow-range,endemic,1.757786519630673,endemic,,
Procambarus simulans,widespread/cosmopolitan,widespread,4.177039201203156,widespread,,
Procambarus spiculifer,widespread/cosmopolitan,widespread,4.490493753551631,widespread,,
Procambarus suttkusi,regional,regional,2.036963594766042,regional,,
Procambarus talpoides,regional,regional,2.3906579947630715,regional,,
Procambarus troglodytes,widespread/cosmopolitan,widespread,4.491834072088444,widespread,,
Procambarus tulanei,regional,regional,1.855312325958312,regional,,
Procambarus verrucosus,regional,regional,2.0319034520786037,regional,,
Procambarus versutus,widespread/cosmopolitan,widespread,3.861200100819468,widespread,,
Procambarus viaeviridis,regional,regional,2.9610865251650553,regional,,
Procambarus vioscai,regional,regional,2.8494277371993135,regional,,
Procambarus vioscai paynei,regional,regional,2.4,regional,,
Procambarus virginalis,widespread/cosmopolitan,widespread,5.648873707496339,widespread,,
Samastacus spinifrons,widespread/cosmopolitan,widespread,4.396990771051577,widespread,,
